ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_field1,Metadata_field1,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_OrigGray,Intensity_IntegratedIntensity_OrigGray,Intensity_LowerQuartileIntensity_OrigGray,Intensity_MADIntensity_OrigGray,Intensity_MassDisplacement_OrigGray,Intensity_MaxIntensityEdge_OrigGray,Intensity_MaxIntensity_OrigGray,Intensity_MeanIntensityEdge_OrigGray,Intensity_MeanIntensity_OrigGray,Intensity_MedianIntensity_OrigGray,Intensity_MinIntensityEdge_OrigGray,Intensity_MinIntensity_OrigGray,Intensity_StdIntensityEdge_OrigGray,Intensity_StdIntensity_OrigGray,Intensity_UpperQuartileIntensity_OrigGray,Location_CenterMassIntensity_X_OrigGray,Location_CenterMassIntensity_Y_OrigGray,Location_CenterMassIntensity_Z_OrigGray,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_OrigGray,Location_MaxIntensity_Y_OrigGray,Location_MaxIntensity_Z_OrigGray,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
4,1,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_003.png,0,0,frame_003.png,frame_003.png,3588,214.0,63.0,1.0,2.7786171958821426,0.7926067490206761,1.0,0.30976430976430974,0.18172232704218474,135.81220205629182,116.21101496846157,14.7648230602334,4.960961803447549,4.47213595499958,79.62273341535956,82.80920479726056,63.60594356972152,498.11199999999803,0.4890615416070334,94.89804136008024,1233.1921913400292,0.25882354378700256,0.07450979948043823,5.29251866022502,0.4000000059604645,0.6235294342041016,0.23431615150637097,0.34369904998328576,0.32549020648002625,0.03921568766236305,0.03921568766236305,0.06083507147168225,0.11257673760388169,0.4117647111415863,241.19683024172386,84.0899244705671,0.0,242.07329988851728,89.30936454849498,0,256.0,71.0,0.0,1,0.0,0.0,1.0,0.0,1,1,nan,0.0,0,0.0,0.0
4,2,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_003.png,0,0,frame_003.png,frame_003.png,4938,217.0,106.0,1.0,1.194063657122009,0.7974711477932325,1.0,0.6149439601494396,0.5202135603187409,104.76636173271349,109.29318368498559,27.16615541441225,10.185826687649712,8.94427190999916,70.36270678304365,63.21152631008735,-3.681905416673108,345.373999999999,0.8533655923269681,69.05490374565125,1775.1294602453709,0.2666666805744171,0.08627450466156006,4.401049258930786,0.4000000059604645,0.7607843279838562,0.24487554519734483,0.35948348729148866,0.34117648005485535,0.05098039284348488,0.05098039284348488,0.07069384330498948,0.11630461205868578,0.4470588266849518,217.46874909172556,99.2648666518093,0.0,213.44268934791413,101.04252733900364,0,233.0,87.0,0.0,2,0.0,0.0,1.0,0.0,2,1,nan,0.0,0,0.0,0.0
4,3,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_003.png,0,0,frame_003.png,frame_003.png,3261,105.0,117.0,1.0,1.5155335937443892,0.8439374178909803,1.0,0.4125237191650854,0.3856086593728952,98.72358763159855,101.53324578678651,19.4164878389476,7.1779846074111795,6.324555320336759,61.564091937944575,52.959443399105645,-51.360512834335616,325.99199999999917,0.769466729589429,53.85098125040531,1128.6510112732649,0.24313725531101227,0.07058824598789215,0.5781510183330838,0.30980393290519714,1.0,0.20244729793385455,0.34610579922516554,0.3019607961177826,0.1725490242242813,0.1725490242242813,0.01750546266386289,0.14524139700050204,0.40392157435417175,107.87140297243161,111.82056660248423,0.0,107.81662066850659,111.24501686599203,0,100.0,125.0,0.0,3,0.0,0.0,1.0,0.0,3,1,nan,0.0,0,0.0,0.0
5,1,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_004.png,0,0,frame_004.png,frame_004.png,8329,228.0,90.0,1.0,1.0882359172493894,0.5872382116299179,1.0,0.5832633053221289,0.5318489705931788,117.8975561924281,139.0898989862312,41.78516483155236,14.328334109130399,12.36931687685298,94.6936866440125,95.42795144018262,0.479617537010045,443.6159999999986,0.8840418192432203,76.87058931589127,2975.5059596151114,0.250980406999588,0.09019607305526733,4.3273099897814005,0.24705882370471954,0.7921568751335144,0.20229102451550332,0.3572464833251424,0.34117648005485535,0.1764705926179886,0.01568627543747425,0.011799578266656438,0.12896260147052455,0.4313725531101227,230.0666869927484,91.38401118631711,0.0,226.10409412894705,93.12282386841157,0,257.0,74.0,0.0,1,0.0,0.0,1.0,0.0,1,1,nan,0.0,0,0.0,0.0
5,2,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_004.png,0,0,frame_004.png,frame_004.png,3790,115.0,122.0,1.0,1.4197251381810465,0.7518690862250966,1.0,0.3989473684210526,0.3462141188664304,97.5920505699918,103.07764064044152,21.18962010041709,7.3843710560102425,6.324555320336759,76.83601695544405,64.3436517751144,-57.69482220165369,370.8959999999988,0.7277964474315889,59.956863701343536,1358.403955116868,0.23137255012989044,0.0784313827753067,0.18281501060197242,0.2705882489681244,1.0,0.20119752919913939,0.35841793010999157,0.29411765933036804,0.18039216101169586,0.18039216101169586,0.013217356561095735,0.1706174396862861,0.43529412150382996,118.00903309585512,113.53673139656952,0.0,117.8419525065963,113.46253298153034,0,119.0,111.0,0.0,2,0.0,0.0,1.0,0.0,2,1,nan,0.0,0,0.0,0.0
6,1,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_005.png,0,0,frame_005.png,frame_005.png,7598,233.0,86.0,1.0,1.073321917239955,0.551851219331854,1.0,0.6894736842105263,0.6052006987226198,110.49887684905929,120.41594578792295,41.97618372363071,14.045709560182745,12.041594578792296,88.83316917515303,92.14971877686014,6.690410681375735,397.19599999999906,0.8731326131923693,73.71372646093369,2722.7647806480527,0.2549019753932953,0.08235295116901398,4.363934423842193,0.25882354378700256,0.8784313797950745,0.21182105304866,0.3583528271450451,0.3294117748737335,0.1921568661928177,0.03529411926865578,0.013089230142501674,0.12660242279621714,0.43529412150382996,235.5275375778558,88.3616061806121,0.0,231.27296657015003,89.33245590944985,0,262.0,76.0,0.0,1,0.0,0.0,1.0,0.0,1,1,nan,0.0,0,0.0,0.0
6,2,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_005.png,0,0,frame_005.png,frame_005.png,3750,137.0,114.0,1.0,1.5954413698236554,0.6807094511041712,1.0,0.3676110185275953,0.21369947332723413,99.43099862593338,104.12012293500234,20.248456731316587,6.22420235586859,5.0990195135927845,86.01395235657992,72.83852692164,-65.32274101128925,469.58999999999867,0.6405329233922623,79.3764715641737,1309.0588554739952,0.22745098173618317,0.0627451092004776,1.352657343623504,0.24705882370471954,1.0,0.20724927301350834,0.34908236145973204,0.27843138575553894,0.14901961386203766,0.14901961386203766,0.009728819865370811,0.17213899367534705,0.40784314274787903,127.50647973251404,111.80240855487993,0.0,126.15546666666667,111.73573333333333,0,134.0,112.0,0.0,2,0.0,0.0,1.0,0.0,2,1,nan,0.0,0,0.0,0.0
7,1,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_006.png,0,0,frame_006.png,frame_006.png,6680,250.0,87.0,1.0,1.1364756034319354,0.6706722661009903,1.0,0.6487956487956488,0.3911237802025985,111.49965196841424,122.54386969571347,30.870698080866262,10.99688814148232,9.848857801796104,86.34268251293454,82.70529142324875,-2.905764869904704,463.27199999999857,0.8275007742335089,90.02353020012379,2288.8824183065444,0.26274511218070984,0.05882352590560913,2.477314171448738,0.26274511218070984,0.6901960968971252,0.22848611725919743,0.34264706860876415,0.3137255012989044,0.20000000298023224,0.0235294122248888,0.009788080847679625,0.10418419468128026,0.4000000059604645,241.99785833466132,88.11617966039103,0.0,239.57874251497006,88.65,0,258.0,73.0,0.0,1,0.0,0.0,1.0,0.0,1,1,nan,0.0,0,0.0,0.0
7,2,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_006.png,0,0,frame_006.png,frame_006.png,3614,151.0,113.0,1.0,1.5689509504108226,0.557529073032911,1.0,0.3962719298245614,0.21546268878558203,92.32739611471006,103.78824596263297,21.2602916254693,6.0503368690810895,5.0,84.78515311758959,76.64627243908383,-86.02969743179719,459.10599999999863,0.6129579375848033,88.64313827455044,1308.3882705420256,0.25882354378700256,0.06666666269302368,1.637244512967321,0.3294117748737335,1.0,0.2314442252599228,0.3620332790653087,0.3137255012989044,0.16470588743686676,0.16470588743686676,0.015679712360401225,0.14843339199131536,0.4117647111415863,140.55585827136528,108.90288305312815,0.0,139.16712783619258,109.77006087437742,0,148.0,106.0,0.0,2,0.0,0.0,1.0,0.0,2,1,nan,0.0,0,0.0,0.0
8,1,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_007.png,0,0,frame_007.png,frame_007.png,4910,229.0,90.0,1.0,1.3262412296799304,0.8124464496841926,1.0,0.6143643643643644,0.25471884702557496,111.07921807773948,119.95415791042844,22.47220505424423,7.843257343692921,6.555664084966109,72.70364765378423,64.76316290093781,-15.138483160531743,492.1699999999986,0.7543980947991089,99.21568749845028,1627.9765161275864,0.2666666805744171,0.047058820724487305,1.151602825248027,0.3019607961177826,0.729411780834198,0.24081477548167543,0.3315634452398343,0.30588236451148987,0.21568627655506134,0.21568627655506134,0.010598836434729721,0.0851300540579198,0.3803921639919281,245.94498881463971,85.17432206238834,0.0,245.3366598778004,86.15213849287169,0,262.0,66.0,0.0,1,0.0,0.0,1.0,0.0,1,1,nan,0.0,0,0.0,0.0
